,Economics.txt
tech,3
integration,3
tijdschr,3
problems,3
internazionale,3
tijdschrift,3
austrian,3
managerial,2
lloyds,2
marine,2
kong,2
independent,2
italiano,2
impact,2
roumaine,2
politico,2
malayan,2
risparmio,2
local,2
pensiero,2
keynesian,2
debate,2
studien,2
margin,2
humanomics,2
tiers,2
imf,2
ifo,2
open,2
hong,2
louis,2
associationamer,2
instruments,2
institutions,2
lactual,2
india,2
lactualité,2
stochastics,2
italiana,2
kyoto,2
feminist,2
st,2
monde,2
kyklos,2
kapital,2
kredit,2
konjunkturpolitik,2
zasshi,2
transnational,2
kokuminkeizai,2
keio,2
minneapolis,2
aikak,2
finnish,2
scienze,2
land,2
latin,2
ricerche,2
hitotsubashi,2
ideas,2
risec,2
limpresa,2
care,2
economicsres,2
harvard,2
greek,2
istre,2
gospodarstvo,2
marquette,2
degli,2
storia,2
liiketaloudellinen,2
libyan,2
lecturas,2
behav,2
behavior,2
games,2
foresight,2
gestion,2
mitteilungen,2
portfolio,2
derivatives,2
storici,2
contracting,2
marche,2
market,2
rassegna,2
recherches,2
nomura,2
louvain,2
rech,2
louvainlouvain,2
black,2
italy,2
matekon,2
wealth,2
data,2
geographer,2
use,2
radical,2
brasileira,2
econometria,2
aplicada,2
statistik,2
mexico,2
netnomics,2
punjab,2
sources,2
west,2
life,2
orbis,2
oregon,2
businessecon,2
pacificbasin,2
opec,2
developmentenergy,2
managementenviron,2
nonmarket,2
making,2
psych,2
ohio,2
oecd,2
actuarial,2
north,2
politická,2
cooperation,2
postcommunist,2
researchecon,2
analysisfinan,2
leadership,2
researchfinan,2
prague,2
nonprofit,2
estadística,2
jahrbuchr,2
wirtsch,2
advances,2
moctmost,2
berufsforschung,2
intermountain,2
mathematics,2
arbeitsmarkt,2
innovations,2
spektrum,2
urbaine,2
credit,2
multinational,2
mich,2
academician,2
michigan,2
comercial,2
metrika,2
methodus,2
methods,2
corporate,2
indiana,2
estouest,2
madagascar,2
contrôle,2
stratégie,2
legal,2
insights,2
osteuropas,2
financ,2
wirtschaft,2
jahrbuch,2
ise,2
economrevista,2
tidsskr,2
historia,2
tidsskrift,2
investigaciones,2
westminster,2
mon,2
fund,2
economicsint,2
developmentint,2
transport,2
abdulaziz,2
aperto,2
montevideo,2
mondo,2
momento,2
transitional,2
des,2
lofce,2
financière,2
philippinebus,2
academia,2
cleveland,2
british,2
corporations,2
cieplan,2
partmethodological,2
parttransport,2
chicago,2
ciriecesparevista,2
challenge,2
cepal,2
europoperations,2
travail,2
cemla,2
cato,2
emploi,2
ukrainian,2
carnegierochester,2
unctad,2
missouri,2
bruxelles,2
rurales,2
sociologie,2
indonesian,2
venture,2
capital,2
buffalo,2
brookings,2
transaction,2
hospitality,2
comercio,2
contrib,2
económico,2
donaurum,2
demography,2
taiwan,2
teaching,2
digest,2
strategic,2
ice,2
economicos,2
cvf,2
telecommunications,2
contributions,2
exterior,2
contemp,2
voor,2
consommation,2
computational,2
transformation,2
communist,2
strategies,2
communications,2
mod,2
modern,2
comertul,2
wirtschaftsforschung,2
water,2
econometrica,2
weltwirtschaftliches,2
yapi,2
kredi,2
yorkshire,2
zagreb,2
meas,2
com,2
fac,2
palermo,2
ekonomskog,2
textile,2
statistician,2
association,2
prospect,2
archiv,2
statistisches,2
allgemeines,2
mesoamericana,2
agronomia,2
agriculture,2
agribusiness,2
agenda,2
afrika,2
africaine,2
acta,2
aces,2
aquaculture,2
archives,2
arquivo,2
banca,2
weltwirtsch,2
bol,2
boletin,2
banker,2
valletta,2
korea,2
recht,2
wirtschaftspolitische,2
blätter,2
banco,2
bancaria,2
australianagr,2
essays,2
forecasts,2
commodities,2
hallewittenberg,2
aussenwirtschaft,2
atlantic,2
asianpacific,2
workingusa,2
observer,2
asean,2
arthavikas,2
arthaniti,2
swiss,2
aikakauskirja,2
empresariales,2
tydskr,2
nd,2
second,2
ghana,2
democracy,2
etud,2
eurasian,2
recent,2
epoca,2
spanish,2
nueva,2
eurochoices,2
mexicana,2
tydskrif,2
vir,2
ekonomiese,2
spoudai,2
conjoncture,2
ekonomska,2
notes,2
empirica,2
plata,2
kenkyu,2
keizai,2
engineering,2
entrepreneurship,2
schweizvolkswirtsch,2
banken,2
volkswirtschaft,2
cult,2
cultural,2
singapore,2
estudos,2
nationalbank,2
pubbliche,2
workers,2
radvanskoyi,2
ger,2
rurale,2
explorations,2
ekonomika,2
nutrition,2
sloan,2
welfare,2
eib,2
obzor,2
ekonomia,2
scandinavian,2
peru,2
econecon,2
catholic,2
ukhayeny,2
supreme,2
small,2
samfundets,2
fdic,2
court,2
boston,2
sozialwissenschaften,2
westernagr,1
applicata,1
technical,1
metu,1
nebrecon,1
mississippi,1
valbus,1
economiche,1
miss,1
aus,1
valley,1
moneta,1
wissmartinluther,1
skandinaviska,1
credito,1
zeitschrift,1
wissenshaftliche,1
multinat,1
seoul,1
nationaløkonomisk,1
monetacredito,1
nationaløkon,1
martin,1
crédito,1
moneda,1
luther,1
monedacrédito,1
kansantaloudellinen,1
skand,1
universitat,1
nebraska,1
seoulecon,1
cienc,1
scotpolit,1
economiquerevue,1
betriebswirtschaftbetriebswirtschaft,1
sozialwissenj,1
jahrwirtsch,1
economisti,1
scandecon,1
scand,1
lahoreecon,1
lahore,1
econrev,1
danalyse,1
russianeurop,1
schaftallg,1
die,1
gesamte,1
staatswissenschaft,1
jiteges,1
staatswissen,1
jite,1
nationalökonomienationalökon,1
sozialwissenschaftenwirtsch,1
sozialwissen,1
kansant,1
marktwirtsch,1
nuova,1
scottish,1
fakulteta,1
statistswissecon,1
metroecon,1
metroeconomica,1
yaleregul,1
statistikswiss,1
schweiz,1
archrev,1
quartalsheft,1
economichecommerciali,1
sociali,1
fakul,1
serie,1
fakultetarijeciproceedings,1
fakulrijeciproceed,1
train,1
training,1
allgemaine,1
macroecon,1
macroeconomic,1
logist,1
marktwirts,1
logistics,1
security,1
financeamerecon,1
nigerian,1
nigerianecon,1
emprêsas,1
administraçaoemprêsas,1
cond,1
conditions,1
detudes,1
persp,1
etveloppementgionvel,1
gion,1
comparatives,1
randecon,1
cercet,1
rand,1
quartindian,1
quartecon,1
quartbus,1
quartaustrian,1
transnat,1
partpolicy,1
partpol,1
economice,1
finanza,1
economiafinanza,1
cercetari,1
partlogistics,1
si,1
analisis,1
econominstitucional,1
regionale,1
eqtesadi,1
swedishecon,1
canadienne,1
administracide,1
económicasde,1
tahqiqate,1
ciencas,1
facultad,1
surv,1
ladministrationcanadian,1
políticos,1
estadíst,1
tahq,1
industrielle,1
eq,1
administrative,1
admincanadmin,1
current,1
survey,1
duveloppement,1
econestadíst,1
econvel,1
políticabrazilianpolit,1
políticabrazilian,1
culture,1
budg,1
budgeting,1
administration,1
statebull,1
statsokon,1
asianenergy,1
statsokonomisk,1
economicus,1
washington,1
wash,1
okon,1
politik,1
socrie,1
og,1
sovieteurop,1
state,1
government,1
vierteljahrsheftze,1
zur,1
curr,1
vierteljahrs,1
southernagr,1
nordicpolit,1
nordic,1
sec,1
arch,1
psychology,1
archivreview,1
govt,1
socialesrie,1
problemas,1
econômico,1
studii,1
partlogist,1
economici,1
studi,1
ekonomie,1
struct,1
structural,1
pharmacoecon,1
pharmacoeconomics,1
planejamento,1
pesquisa,1
pesquisaplanejamento,1
pakistanappl,1
united,1
iberamer,1
pensa,1
econompolítica,1
iberoamericano,1
nations,1
pensamiento,1
chronicle,1
chron,1
economespañola,1
papeles,1
transporation,1
nationalökon,1
tradeworld,1
trimestre,1
ekonmat,1
ekonomiska,1
tidskrift,1
tidskr,1
istrazivanjaeconomic,1
istrazivanjaecon,1
misaopraksa,1
misao,1
praksa,1
el,1
trim,1
europlaw,1
planningenviron,1
planninggovernment,1
planninggovt,1
económicos,1
internacionales,1
etudes,1
europdevel,1
europfinance,1
europhousing,1
europind,1
ekonomickomatematicky,1
sociaal,1
economisch,1
socis,1
chilena,1
pubblichej,1
economialavoro,1
internazionaleinternational,1
intint,1
computation,1
cybernetics,1
computat,1
cybern,1
policyeuropean,1
poleurop,1
record,1
rec,1
philosophy,1
philos,1
economicsbiannual,1
collection,1
biann,1
collec,1
appliquecon,1
internationale,1
europint,1
europpolit,1
economicas,1
intind,1
indianquant,1
corp,1
informacion,1
information,1
intappl,1
intbus,1
intfinance,1
forecasting,1
intforecasting,1
intgame,1
manpower,1
europhist,1
intmanpower,1
intmaritime,1
production,1
intproduct,1
intsoc,1
intecon,1
inttheoretical,1
inttransport,1
inturban,1
investigacieconómica,1
indianlab,1
indiangender,1
gender,1
indianecon,1
experimental,1
exper,1
phila,1
financeúver,1
úver,1
finanzarchiv,1
finanzarch,1
fisc,1
giornale,1
economistiannali,1
giorn,1
abstracts,1
abstr,1
commerce,1
hitotsubashicom,1
hitotsubashiecon,1
iium,1
iiumecon,1
illinois,1
ill,1
indianappl,1
economchilena,1
aplicadabrazilianappl,1
aplicadabrazilian,1
australianlab,1
academy,1
acad,1
instituto,1
gulbenkian,1
ciência,1
pacificecon,1
asianagr,1
literature,1
australasian,1
australasianreg,1
australianmanage,1
portugal,1
nazionale,1
naz,1
espaeconomic,1
espaecon,1
engl,1
bell,1
bellecon,1
musea,1
argentino,1
mus,1
coop,1
cooperative,1
measurement,1
università,1
oeconomica,1
oecon,1
advancing,1
advanc,1
cons,1
reviewrevue,1
developpement,1
revrevue,1
spec,1
archj,1
ameragr,1
amerecon,1
analyse,1
linsee,1
insee,1
appliquann,1
statistique,1
annali,1
della,1
facoltà,1
economiacommercio,1
argent,1
electronic,1
electronicecon,1
cityscape,1
colecciestudios,1
colecciestud,1
columbia,1
columbiaworld,1
constitutional,1
constit,1
critical,1
critic,1
cyprusecon,1
czechoperations,1
economde,1
econom,1
demografy,1
economdemogr,1
africanrural,1
eastwestecon,1
ecological,1
ecolog,1
reviews,1
pontifical,1
portuguese,1
cityscapepol,1
cooperativa,1
britind,1
econblica,1
brit,1
activity,1
act,1
documentation,1
doc,1
prefecture,1
prefect,1
sociaux,1
california,1
calif,1
cambridgeecon,1
canagr,1
candevel,1
canecon,1
canreg,1
conference,1
conf,1
mensual,1
mens,1
econompública,1
socialcooperativa,1
investigaciecon,1
investment,1
lawworld,1
moralitymarkets,1
researchlab,1
economicslaw,1
organizationlaw,1
economicslegal,1
studieslegal,1
macroeconomicsmacroecon,1
researchmanage,1
governancemanage,1
researchmarketing,1
marketingmarketing,1
morality,1
economicspopulation,1
economicsmath,1
economicsmonet,1
bankingmoney,1
managementmultinat,1
researchpeace,1
sciencepeace,1
managementpol,1
modelingpol,1
reformpol,1
reform,1
economicslab,1
economicsking,1
king,1
financeint,1
systemsgeograph,1
economicshealth,1
lawhealth,1
higher,1
managementhigher,1
economicshousing,1
researchhousing,1
resourceshuman,1
distributionincome,1
distribution,1
economicsind,1
studiesindustry,1
institutional,1
economicsinst,1
interamerican,1
affairsinteramer,1
interdisciplinary,1
economicsinterdisciplinary,1
studiesint,1
lawint,1
moneyint,1
economypolit,1
managementportfol,1
invest,1
thoughthist,1
uncertaintyrisk,1
uncertainty,1
developmentsoc,1
socioeconomicssocioecon,1
sports,1
economicssports,1
taxationtaxation,1
transfertech,1
transfer,1
economyasia,1
economiesjapanese,1
post,1
royal,1
seriesj,1
roy,1
sciencessoc,1
irelandstatistical,1
ireland,1
developmenttransnat,1
policytransp,1
economicsurban,1
businessworld,1
insurancerisk,1
pharmaceut,1
pharmaceutical,1
economicsregul,1
economicspost,1
private,1
enterpriseprivate,1
productivity,1
analysisproductiv,1
affairspublic,1
theorypublic,1
economicspublic,1
choiceeconomia,1
pubblichepublic,1
choiceecon,1
economicsquant,1
economicsreal,1
literaturereal,1
managementreal,1
portfol,1
educationreal,1
researchreal,1
policyreg,1
sciencereg,1
regulatory,1
geographical,1
marketsfutures,1
futures,1
affairscons,1
economicsbehavioral,1
bioeconomicsbioecon,1
statisticsbus,1
researchbus,1
businessbus,1
common,1
studiescommon,1
economicscompar,1
resolutionconflict,1
resolution,1
policycons,1
economicsforensic,1
researchcons,1
organizationcorp,1
economicscult,1
derivativesderivatives,1
areasdeveloping,1
areas,1
policiesdevel,1
economicsdevel,1
studiesdevel,1
studieseast,1
financebanking,1
researchbank,1
economyaustralian,1
businessasiapacific,1
irishagr,1
regionalwissenschaftreview,1
regionalwissenrev,1
jahrbücherr,1
nationalökonomie,1
econometricsstud,1
economicsacc,1
researchacc,1
auditing,1
financeacc,1
aud,1
businessafrican,1
economiesafrican,1
developmentafrican,1
researchagr,1
researchappl,1
econometricsappl,1
economicsappl,1
statisticsappl,1
economicsasian,1
studiesasian,1
businesseastwest,1
econometricseconometrics,1
measurementecon,1
nationalökonomieeconnationalökon,1
strategyecon,1
strategy,1
financeeduc,1
emerging,1
marketsemerging,1
financeempirical,1
literatureenergy,1
developmentenviron,1
historyeurop,1
evolutionary,1
economicsevolutionary,1
issuesfamily,1
far,1
businessfar,1
farm,1
economicsfarm,1
financefinance,1
economicsfinan,1
intermediationfinan,1
intermediation,1
forensic,1
financeecon,1
mvea,1
policyecon,1
mveaecon,1
organizationecon,1
countriesecon,1
countries,1
developmentecon,1
controlecon,1
control,1
educationecon,1
growthecon,1
historyecon,1
integrationecon,1
issuesecon,1
literatureecon,1
methodologyecon,1
methodology,1
perspectivesecon,1
psychologyecon,1
studiesecon,1
surveysecon,1
surveys,1
econometricsecon,1
theoryecon,1
wirtschaftspolitikwirtschaftspolitik,1
