,BioScience.txt,Zoological Records.txt,Philosophy.txt,Medical.txt,Law.txt,Humanities.txt,Chemical.txt,Religion.txt,Economics.txt,Anthropology.txt,Korean Medical Terms.txt,Astronomy and Astrophysics.txt,,,,,,,,,,,,,
accobams,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
accounts,5,1,0,1,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
aceites,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aciar,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acid,6,0,0,9,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
acids,8,8,0,20,0,0,2,0,0,0,0,1,,,,,,,,,,,,,
acoust,2,4,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acoustical,1,2,0,1,0,1,0,0,0,0,0,4,,,,,,,,,,,,,
acoustics,3,2,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,
acquacolt,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acquacoltura,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acquired,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acrocephalus,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
act,22,13,1,2,0,0,0,1,1,0,0,0,,,,,,,,,,,,,
acta,168,602,6,755,0,7,68,6,2,14,0,76,,,,,,,,,,,,,
actes,2,14,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
actividad,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
activites,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
activities,8,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
activity,8,2,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
actrapp,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
actrapport,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
actual,1,2,0,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
actualidades,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
actuators,2,0,0,0,0,0,4,0,0,0,0,3,,,,,,,,,,,,,
acu,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
acuarismo,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acuat,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acui,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acuic,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acuicola,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acuicult,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acuicultura,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adapt,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adaptive,1,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
addict,3,0,0,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
addiction,3,0,0,7,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
addictive,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
addit,1,1,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
additives,1,0,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
adhes,1,0,0,4,0,0,5,0,0,0,0,0,,,,,,,,,,,,,
adhesion,1,0,0,2,0,0,3,0,0,0,0,1,,,,,,,,,,,,,
adm,3,5,0,84,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
admin,8,0,0,2,3,0,0,0,4,0,0,0,,,,,,,,,,,,,
administrasjon,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
administration,12,4,0,43,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
administrative,1,0,0,4,3,0,0,0,1,0,0,0,,,,,,,,,,,,,
adolesc,6,0,0,32,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adolescence,5,0,0,5,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
adolescent,4,0,0,23,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adolescents,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adolfo,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adriamed,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adriat,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adriatica,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
adv,36,83,0,238,0,0,38,0,0,0,0,0,,,,,,,,,,,,,
advanced,4,5,0,6,0,1,11,0,0,0,0,9,,,,,,,,,,,,,
advances,31,75,1,135,0,0,27,0,2,0,0,41,,,,,,,,,,,,,
adverse,4,0,0,12,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
advis,8,3,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
advisory,9,3,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aebernardino,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aedr,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aedraugusto,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aegirsea,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aerobiologia,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aeronaut,4,0,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aeronautical,1,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,
aeronautics,3,0,0,2,0,0,0,0,0,0,0,7,,,,,,,,,,,,,
aerosp,1,0,0,5,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
aerospace,5,0,0,1,0,0,0,0,0,0,1,22,,,,,,,,,,,,,
aff,3,6,0,8,3,0,0,0,7,1,0,0,,,,,,,,,,,,,
affairs,8,6,10,5,3,3,0,15,7,1,0,1,,,,,,,,,,,,,
afr,41,110,1,48,0,0,2,1,0,30,0,0,,,,,,,,,,,,,
afrbull,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
africa,6,37,0,4,0,11,0,23,4,3,0,5,,,,,,,,,,,,,
africabulletin,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
africaine,2,1,0,0,0,0,0,1,2,0,0,0,,,,,,,,,,,,,
african,32,60,3,26,0,27,2,16,24,23,0,6,,,,,,,,,,,,,
afrique,1,1,0,3,0,1,0,0,0,1,0,0,,,,,,,,,,,,,
afsc,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
age,4,2,2,7,0,4,2,3,0,0,0,0,,,,,,,,,,,,,
ageing,2,2,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agencies,1,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agency,25,12,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
agents,10,4,0,23,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
aggr,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aggreg,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aggregating,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aggression,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
aggressive,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aging,12,8,0,54,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
agrar,2,18,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agraria,2,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agraroekologie,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agri,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agribiol,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agribiological,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agric,79,341,0,8,0,0,3,0,0,0,0,0,,,,,,,,,,,,,
agricult,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agricultura,2,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agriculturae,2,21,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agricultural,42,176,2,10,0,1,1,0,21,0,0,2,,,,,,,,,,,,,
agriculture,49,122,1,2,0,0,2,2,2,0,0,0,,,,,,,,,,,,,
agriculturist,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agro,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agroalimentaria,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agrochimica,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agroenviron,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agroenvironment,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agromed,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agromedicine,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agron,12,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agronomia,4,7,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,
agronomica,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agronomie,3,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agronomique,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agronomiques,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agronomy,3,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agrum,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
agrumari,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aguas,2,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ahperd,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ai,2,4,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
aiaa,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
aiche,4,0,0,0,0,0,2,0,0,0,0,2,,,,,,,,,,,,,
aichi,2,0,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aid,2,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aidant,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aided,3,0,0,5,0,0,2,0,0,0,0,1,,,,,,,,,,,,,
aids,20,0,0,34,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
air,24,4,0,42,2,0,4,0,0,0,0,6,,,,,,,,,,,,,
aircraft,4,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
aise,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
akad,7,148,0,42,0,0,1,0,0,6,0,3,,,,,,,,,,,,,
akademia,1,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,
akademie,2,25,0,4,0,3,0,0,0,1,0,8,,,,,,,,,,,,,
akademii,9,77,0,13,0,2,1,0,0,1,0,4,,,,,,,,,,,,,
akademijas,1,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
akademyiyi,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aktuell,2,12,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
akvakult,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
akvakultura,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
al,3,17,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,
ala,2,7,0,12,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
alabama,2,7,0,6,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
alamos,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alaska,18,31,0,10,2,0,0,0,0,1,0,0,,,,,,,,,,,,,
alauda,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
albertoa,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alcohol,13,0,0,60,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alcoholism,1,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alcom,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alert,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alerta,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alexanor,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alfort,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alfred,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alfredwegenerinst,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alfredwegenerinstitut,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
algae,4,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
algol,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
algological,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
algologie,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
algologiya,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alieft,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alieftika,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alieias,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aliment,4,4,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alimentacion,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alimentaria,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alimentos,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alister,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
allatorv,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
allatorvosok,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
allergy,16,4,0,67,0,0,0,0,0,0,6,0,,,,,,,,,,,,,
allied,4,2,0,25,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
alligator,6,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
allruss,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alp,2,9,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,
alpine,4,7,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
alsambouk,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alternative,2,1,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alternatives,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alytes,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
alzheimers,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amazon,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amazoniana,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amazonica,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ambient,4,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ambiental,4,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ambiente,6,6,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
ambio,2,4,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
ambios,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ambleside,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amer,1,0,12,0,0,0,0,4,17,39,0,0,,,,,,,,,,,,,
america,8,22,0,50,0,11,1,13,0,1,0,11,,,,,,,,,,,,,
american,99,118,16,277,15,80,14,96,17,31,0,40,,,,,,,,,,,,,
americanas,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amino,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amphibian,2,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amphibiareptilia,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amphipacifica,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
amst,3,11,0,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
amsterdam,4,11,0,0,0,2,0,2,0,0,0,1,,,,,,,,,,,,,
amyotrophic,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anadromous,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anaerobe,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anaesthesia,2,1,0,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anais,5,9,0,9,0,2,0,0,0,0,0,1,,,,,,,,,,,,,
anal,34,13,2,60,0,0,32,2,15,0,0,0,,,,,,,,,,,,,
anales,5,20,3,17,0,4,2,0,0,4,0,0,,,,,,,,,,,,,
analg,1,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
analgesia,1,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anali,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
analstat,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
analyser,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
analyserstatistical,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
analyses,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
analysis,22,7,5,25,2,3,12,2,12,1,0,28,,,,,,,,,,,,,
analyst,2,0,0,5,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
analytica,1,0,4,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
analytical,9,3,0,17,0,1,17,2,0,0,0,7,,,,,,,,,,,,,
anartia,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anat,5,33,0,90,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
anatomica,1,3,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anatomical,1,6,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anatomii,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anatomy,2,7,0,16,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
andamento,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anesth,1,0,0,30,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anesthesia,1,0,0,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anesthesiology,2,0,0,11,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
ang,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
angeles,1,6,0,6,3,0,0,0,0,0,0,1,,,,,,,,,,,,,
angew,6,14,0,10,0,0,6,0,0,0,0,0,,,,,,,,,,,,,
angewandte,6,13,0,5,0,1,6,0,0,0,0,8,,,,,,,,,,,,,
angiogenesis,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anhui,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anim,43,134,0,62,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
animal,36,105,0,34,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
animale,4,4,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
animalia,4,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
animalium,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
animals,2,14,2,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ann,63,146,4,278,4,0,6,6,9,9,0,2,,,,,,,,,,,,,
annalen,5,9,0,1,0,0,2,0,0,0,0,8,,,,,,,,,,,,,
annaler,1,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
annales,22,76,2,63,0,7,1,2,3,4,0,30,,,,,,,,,,,,,
annali,2,16,1,18,0,6,2,4,2,0,0,1,,,,,,,,,,,,,
annals,28,41,4,69,2,4,2,4,5,5,0,27,,,,,,,,,,,,,
annu,141,157,0,112,0,0,11,0,0,3,0,0,,,,,,,,,,,,,
annuaire,3,4,0,0,0,2,0,0,0,1,0,0,,,,,,,,,,,,,
annual,132,150,3,62,4,22,11,15,0,2,0,21,,,,,,,,,,,,,
annuario,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
annuel,13,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
annuelle,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
annurep,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anquan,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ant,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarct,8,15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarctic,11,16,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
antarkt,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarkticheskogo,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarkticheskoj,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarktichnij,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarktikaantarctic,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antarktiki,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
antart,4,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antartica,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antartico,3,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anthropol,5,47,0,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anthropological,1,11,2,0,0,3,0,4,0,17,0,0,,,,,,,,,,,,,
anthropologie,1,9,0,1,0,0,0,0,0,8,0,0,,,,,,,,,,,,,
anthropology,3,20,0,8,0,2,0,12,0,47,0,0,,,,,,,,,,,,,
antibiot,2,1,0,16,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
antibiotics,2,1,0,6,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
antibodies,2,0,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
anticancer,6,0,0,9,0,0,4,0,0,0,0,0,,,,,,,,,,,,,
antigens,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antimicrob,3,1,0,8,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
antimicrobial,5,1,0,4,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
antioxid,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antioxidants,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antipode,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
antisense,2,0,0,8,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
antiviral,4,0,0,5,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
